Категория,Элемент,Технология,Описание,Стоимость (мес.)
Виртуальные аватары,Аватар-Мастер Космотерапии,D-ID / Synthesia / HeyGen,"Фотореалистичный, мудрый наставник в белых одеждах",200-500$
Виртуальные аватары,Аватар-Практик Ионетики,DeepBrain AI Studios,"Энергичный, излучающий молодость и силу",200-500$
Виртуальные аватары,Аватар-Гид по Трансформации,Ready Player Me + анимация,"Андрогинный, космический, с элементами будущего",200-500$
Платформа обучения,Основная LMS,GetCourse / CoreApp / Zenclass,Инструмент для основная lms,50-300$
Платформа обучения,Лайв-стримы,Zoom / VK Live / YouTube Live,Инструмент для лайв-стримы,50-300$
Платформа обучения,Чат-бот,Telegram / VK / WhatsApp,Инструмент для чат-бот,50-300$
Платформа обучения,Оплата,ЮKassa / Сбербанк / PayPal,Инструмент для оплата,50-300$
Платформа обучения,Хранение,Облачное хранилище + CDN,Инструмент для хранение,50-300$
Контент-план,Видеоуроки,Различные ИИ инструменты,30 записанных уроков с аватарами (45-60 мин каждый),Разовые затраты
Контент-план,Космосеансы,Различные ИИ инструменты,6 лайв-сеансов с аватарами (90 мин каждый),Разовые затраты
Контент-план,Медитации,Различные ИИ инструменты,12 аудиогидов с визуализацией аватаров,Разовые затраты
Контент-план,Материалы,Различные ИИ инструменты,"PDF-мануалы, схемы энергий, дневники практик",Разовые затраты
