Модуль,Тип занятия,Название,Формат,Длительность
Модуль 1: Основы Космотерапии,Урок,Введение в космоэнергетику и космотерапию,Видеоурок + Запись,45-60 мин
Модуль 1: Основы Космотерапии,Урок,Мегафизические принципы исцеления,Видеоурок + Запись,45-60 мин
Модуль 1: Основы Космотерапии,Урок,Энергокосмический оккультизм - базовые понятия,Видеоурок + Запись,45-60 мин
Модуль 1: Основы Космотерапии,Космосеанс,Очищение от негативных энергий,Лайв + Запись,90 мин
Модуль 1: Основы Космотерапии,Практика,Медитация на космические каналы,Видеоурок + Запись,45-60 мин
Модуль 2: Ионетика и продление жизни,Урок,Биохронокинез - машина времени исцеления,Видеоурок + Запись,45-60 мин
Модуль 2: Ионетика и продление жизни,Урок,Работа с ДНК на клеточном уровне,Видеоурок + Запись,45-60 мин
Модуль 2: Ионетика и продление жизни,Урок,Регенерационная генетика,Видеоурок + Запись,45-60 мин
Модуль 2: Ионетика и продление жизни,Космосеанс,Активация молодости и долголетия,Лайв + Запись,90 мин
Модуль 2: Ионетика и продление жизни,Практика,Техники продления жизни,Видеоурок + Запись,45-60 мин
Модуль 3: Самосовершенствование,Урок,Развитие сверхвозможностей человека,Видеоурок + Запись,45-60 мин
Модуль 3: Самосовершенствование,Урок,Феноменальная интуиция и яснознание,Видеоурок + Запись,45-60 мин
Модуль 3: Самосовершенствование,Урок,Телепатия и обзоровидение,Видеоурок + Запись,45-60 мин
Модуль 3: Самосовершенствование,Космосеанс,Повышение электрического потенциала мозга,Лайв + Запись,90 мин
Модуль 3: Самосовершенствование,Практика,Медитации для развития экстрасенсорных способностей,Видеоурок + Запись,45-60 мин
Модуль 4: Привлечение изобилия,Урок,Банк космического изобилия,Видеоурок + Запись,45-60 мин
Модуль 4: Привлечение изобилия,Урок,Золотой портал 999 и руны исполнения желаний,Видеоурок + Запись,45-60 мин
Модуль 4: Привлечение изобилия,Урок,Кармическая амнистия,Видеоурок + Запись,45-60 мин
Модуль 4: Привлечение изобилия,Космосеанс,Активация канала изобилия,Лайв + Запись,90 мин
Модуль 4: Привлечение изобилия,Практика,Техники материализации желаний,Видеоурок + Запись,45-60 мин
Модуль 5: Избавление от психосоматики,Урок,Понимание связи психика-тело,Видеоурок + Запись,45-60 мин
Модуль 5: Избавление от психосоматики,Урок,Энергоинформационные причины болезней,Видеоурок + Запись,45-60 мин
Модуль 5: Избавление от психосоматики,Урок,Устранение кармических проблем со здоровьем,Видеоурок + Запись,45-60 мин
Модуль 5: Избавление от психосоматики,Космосеанс,Исцеление психосоматических симптомов,Лайв + Запись,90 мин
Модуль 5: Избавление от психосоматики,Практика,Самодиагностика и самоисцеление,Видеоурок + Запись,45-60 мин
Модуль 6: Трансформация Хомосапиенс → Хомокосмикус,Урок,Эволюция сознания человека,Видеоурок + Запись,45-60 мин
Модуль 6: Трансформация Хомосапиенс → Хомокосмикус,Урок,Активация космического ДНК,Видеоурок + Запись,45-60 мин
Модуль 6: Трансформация Хомосапиенс → Хомокосмикус,Урок,Интеграция с космическим разумом,Видеоурок + Запись,45-60 мин
Модуль 6: Трансформация Хомосапиенс → Хомокосмикус,Космосеанс,Инициация в хомокосмикус,Лайв + Запись,90 мин
Модуль 6: Трансформация Хомосапиенс → Хомокосмикус,Практика,Ежедневные ритуалы космического человека,Видеоурок + Запись,45-60 мин
